iso_code,sero,Location,date,T,CC,P,D,aged_70_older,hospital_beds_per_thousand,population_density,days_since_first_10infections,days_till_lockdown,scale_aged_70_older,scale_hospital_beds_per_thousand,scale_days_since_first_10infections,scale_days_till_lockdown,scale_population_density,k,study_names
DEU,1,Gangelt (Germany) ,20-04-02,153,27,12597,8,14,8,260,58,32,0.78545009,1.541841407,0.289938623,1.360088916,0.624546917,1,1- Gangelt (Germany) 
CHE,1,Geneva (Switzerland),20-04-23,440,48,506765,243,12,4.8,2032.1,54,6,-0.180755449,0.085419003,-0.173350161,-0.620524845,2.238172862,2,2- Geneva (Switzerland)
LUX,1,Luxembourg,20-04-26,1213,23,615729,92,10,4.51,231.447,44,8,-1.323534049,-0.092258938,-1.501090575,-0.299515142,0.533252566,3,3- Luxembourg
HRV,1,Split-Dalmatia (Croatia),20-04-25,937,12,447723,29,14,5.54,100,50,14,0.78545009,0.494207777,-0.672310476,0.352974184,-0.12532202,4,4- Split-Dalmatia (Croatia)
CHE,1,Zurich (Switzerland),20-04-07,1166,13,1520968,127,12,4.1,915.8,38,6,-0.180755449,-0.363999185,-2.451562587,-0.620524845,1.612679774,5,5- Zurich (Switzerland)
AUT,0,Austria,20-05-01,264079,15424,9006400,626,14,7.37,106.749,61,14,0.78545009,1.307982051,0.616896188,0.352974184,-0.074067779,6,6- Austria
BGR,0,Bulgaria,20-05-01,46510,1506,6948450,99,13,7.454,65.18,49,0,0.320946571,1.340294003,-0.803290372,-3.106080662,-0.461222798,7,7- Bulgaria
HRV,0,Croatia,20-05-02,37557,2085,4105268,95,13,5.54,73.726,57,14,0.320946571,0.494207777,0.177183009,0.352974184,-0.364535325,8,8- Croatia
CZE,0,Czech Republic,20-05-01,258368,7682,10708978,293,12,6.63,137.176,56,8,-0.180755449,1.006297339,0.062431618,-0.299515142,0.122743571,9,9- Czech Republic
DNK,0,Denmark,20-05-01,266123,9158,5792203,538,12,2.5,136.52,57,5,-0.180755449,-1.774434873,0.177183009,-0.817425056,0.118981598,10,10- Denmark
EST,0,Estonia,20-05-01,54439,1689,1326539,62,13,4.69,31.033,55,13,0.320946571,0.019320656,-0.054387477,0.264848001,-1.043611298,11,11- Estonia
FIN,0,Finland,20-05-01,106438,4995,5540716,287,13,3.28,18.136,56,42,0.320946571,-1.000207027,0.062431618,1.698186808,-1.465159133,12,12- Finland
DEU,0,Germany,20-05-03,2773432,162496,83783930,7914,16,8,237.016,89,32,1.622415397,1.541841407,3.066037934,1.360088916,0.551912145,13,13- Germany
GRC,0,Greece,20-05-01,77251,2591,10423036,156,15,4.21,83.479,57,7,1.21789252,-0.288514004,0.177183009,-0.449962124,-0.267034238,14,14- Greece
HUN,0,Hungary,20-05-01,76331,2863,9660352,442,12,7.02,108.043,51,6,-0.180755449,1.169262528,-0.543924412,-0.620524845,-0.064611922,15,15- Hungary
ISL,0,Iceland,20-05-01,49961,1797,341250,10,9,2.91,3.404,58,15,-1.983926296,-1.341457909,0.289938623,0.435410722,-2.778059698,16,16- Iceland
IRL,0,Ireland,20-05-01,177097,20612,4937796,1506,9,2.96,69.874,56,11,-1.983926296,-1.292885786,0.062431618,0.06794779,-0.40664826,17,17- Ireland
ITA,0,Italy,20-05-01,2053425,205463,60461823,31368,16,3.18,205.859,69,21,1.622415397,-1.088483881,1.415848439,0.842179002,0.441307856,18,18- Italy
LVA,0,Latvia,20-05-01,61120,858,1886203,19,14,5.57,31.212,50,10,0.78545009,0.509605373,-0.672310476,-0.043193844,-1.039097634,19,19- Latvia
LTU,0,Lithuania,20-05-01,132768,1385,2722289,54,14,6.56,45.135,46,13,0.78545009,0.976035034,-1.212897157,0.264848001,-0.749626294,20,20- Lithuania
LUX,0,Luxembourg,20-05-01,44895,3784,625976,103,10,4.51,231.447,49,8,-1.323534049,-0.092258938,-0.803290372,-0.299515142,0.533252566,21,21- Luxembourg
MLT,0,Malta,20-05-01,35026,465,441539,6,11,4.485,1454.037,48,NA,-0.726136595,-0.108107309,-0.936971075,NA,1.975485724,22,22- Malta
NLD,0,Netherlands,20-05-03,238672,40236,17134870,5670,12,3.32,508.544,62,13,-0.180755449,-0.965647638,0.722317769,0.264848001,1.151034233,23,23- Netherlands
NOR,0,Norway,20-05-01,156444,7710,5421243,232,11,3.6,14.462,61,13,-0.726136595,-0.73479556,0.616896188,0.264848001,-1.642813861,24,24- Norway
POL,0,Poland,20-05-01,354628,12877,37846592,883,10,6.62,124.027,53,6,-1.323534049,1.001993769,-0.294536575,-0.620524845,0.04366455,25,25- Poland
PRT,0,Portugal,20-05-01,439890,24987,10196707,1184,15,3.39,112.371,55,7,1.21789252,-0.906158737,-0.054387477,-0.449962124,-0.033788322,26,26- Portugal
ROU,0,Romania,20-05-01,183688,12240,19237691,1046,12,6.892,85.129,54,10,-0.180755449,1.116796604,-0.173350161,-0.043193844,-0.251673959,27,27- Romania
SVK,0,Slovakia,20-05-01,91072,1396,5459651,27,9,5.82,113.128,50,2,-1.983926296,0.634784153,-0.672310476,-1.702797902,-0.028519271,28,28- Slovakia
SVN,0,Slovenia,20-05-01,55020,1429,2078933,103,13,4.5,102.619,54,6,0.320946571,-0.098587719,-0.173350161,-0.620524845,-0.105033098,29,29- Slovenia
ESP,0,Spain,20-05-07,1625211,222045,46754781,27940,14,2.97,93.105,70,37,0.78545009,-1.283269876,1.509134716,1.540291857,-0.181388706,30,30- Spain
CHE,0,Switzerland,20-05-01,280736,29503,8654617,1588,13,4.53,214.243,62,6,0.320946571,-0.079643366,0.722317769,-0.620524845,0.472635927,31,31- Switzerland
GBR,0,United Kingdom,20-05-01,996826,171253,67886017,33614,13,2.54,272.898,67,46,0.320946571,-1.729178135,1.225149857,1.811801479,0.662543328,32,32- United Kingdom
